MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
GERMAN ENGINEERING WAGE-ROUND TALKS BREAK DOWN|Talks between employers and unions in the West German engineering industry over pay and working hours broke down without result late last night, an official from the IG-Metall union said. IG-Metall, Western Europe's largest union, is reviving its campaign for a 35-hour working week and is demanding a five pct pay increase. Strikes for a 35-hour week in 1984 brought West Germany's automobile industry virtually to a standstill. The result of the 1984 campaign was a compromise reduction in working hours to 38.5 from 40. The talks which broke down yesterday were in the key North Wuerttemberg/North Baden area, which generally sets the trend for the rest of the country. IG-Metall official Ernst Eisenmann, speaking last night, blamed the failure of the negotiations on the employers. He said they had been uncompromising on the question of the shorter week. Hans-Peter Stihl, negotiating for the employers, said any plan to reduce working hours gradually to 35 hours was unacceptable. The employers have not made an official offer on cutting the working week, but sources involved in the negotiations say that they are working on the basis of a possible half-hour reduction from next year and a pay increase of 2.7 pct in 1987 and of 1.5 pct in 1988. The Union will propose that the negotiations be officially declared a failure and then a process of arbitration is likely. IG-Metall has said that cutting the working week will create jobs in West Germany where more than two mln people are unemployed. IG-Metall itself has about 2.5 mln members. IG-Metall has already been staging a series of "warning strikes" to press home demands for the 35-hour week. Yesterday, 23,000 engineering workers struck at 90 plants for one to two hours, according to an IG-Metall statement. Among the strikers were 4,000 at a Daimler-Benz AG <DAIG.F> plant in Bremen, and 3,100 at Ford Motor Co's <F> Ford-Werke AG plant in Saarlouis. REUTER
WEEKLY ELECTRIC OUTPUT UP 11.1 PCT FROM 1986|U.S. power companies generated a net 47.68 billion kilowatt-hours of electrical energy in the week ended April four, up 11.1 pct from 42.91 billion a year earlier, the Edison Electric Institute (EEI) said. In its weekly report on electric output, the electric utility trade association said electric output in the week ended March 28 was 45.56 billion kilowatt-hours. The EEI said power production in the 52 weeks ended April four was 2,563.61 billion kilowatt hours, up 2.4 pct from the year-ago period. Electric output so far this year was 695.50 billion kilowatt hours, up 2.8 pct from 676.58 billion last year, the EEI said. Reuter
N.Y. OILSEEDS REPORT|Dealers said very little business was done in local oilseeds markets. Coconut oil was nominally 18 cents a lb for April/May shipment, CIF, New York/Gulf, brokers said. Crude wet-milled corn oil, FOB, Midwest points, was nominally 20-3/4 cents a lb for nearby shipment. Based on that price, dealers said refined corn oil, FOB, New York, was nominally 27.15 cents a lb. Peanut oil remained offered at 24-1/2 cents a lb for nearby shipment but dealers said market interest was closer to 24 cents. Reuter
MALTA TENDERS FOR WHITE SUGAR TODAY - TRADE|Malta is tendering to buy 3,000 tonnes white sugar today for arrival in two equal parts in May and June, traders said. Reuter
UAL <UAL> AIRLINE PILOTS HOLDING NATIONAL MEETING|The pilots union that has bid 4.5 billion dlrs to buy United Airlines from UAL Inc said it is holding a meeting for all airline employees that will be televised on closed-circuit channels across the country to other locations to present details of the offer. The meeting at a suburban Chicago location is intended to provide information on the offer to buy the airline, it said. Lawyer F. Lee Bailey, pilot chiefs, attorneys and investment bankers from Lazard Freres, the pilots' financial advisors, will speak, it said. Reuter
ST PAUL CATTLE UP 1.00/1.50 DLR - USDA|slaughter cattle rose 1.00 to 1.50 dlr in active trade, the usda said. steers - choice 2-4 1050-1325 lbs 64.50-66.30. heifers - choice 2-4 975-1200 lbs 63.00-65.00. Reuter
FAMILY HEALTH SYSTEMS <FHSY> TO MAKE PURCHASE|Family Health System Inc said The Federal Bankruptcy Court in Fort Worth, Texas has approved its offer to purchase <Sheppard Dental Centers Inc's> assets from a Chapter 7 bankruptcy proceeding for about 300,000 dlrs. FHS administers and markets multiple office dental practices in the Dallas metropolitan area as well as dental offices in the Dallas Metroplex. The company said it plans to open 12 locations in Dallas by the end of 1987. Reuter
JAPANESE ECONOMIC PACKAGE SEEN AS MAJOR CHANGE|The economic package unveiled yesterday by the ruling Liberal Democratic Party (LDP) marks the start of a major shift away from the policies of the past, private economists and government officials said. "A big step forward has been taken," said Industrial Bank of Japan Ltd senior economist Susumu Taketomi. The package, seen as a response to mounting overseas pressure to boost the sagging Japanese economy, calls for a supplementary budget of more than 5,000 billion yen later this year, plus increased imports. Although the measures must still gain the approval of the Finance Ministry, economists said the government will find it too difficult to alter the measures significantly once they have gained domestic and overseas backing. "At last, the LDP and the Ministry of Finance are turning a corner," said Sumitomo Bank Ltd's chief economist Masahiko Koido. For the past five years the government has adhered to a tight fiscal policy in its drive to stop issuing deficit financing bonds in 1990. To meet that goal, spending departments are required to submit annual budgets for current expenditure 10 pct below the previous year and investment five pct below. Masayoshi Ito, chairman of the LDP's policy affairs council, said yesterday the government must stick to its 1990 fiscal reform target, but should review the ceiling it places on public works spending. Even some Finance Ministry officials privately acknowledge that policy changes might be needed, including easing the government's iron grip on spending. Economists said the government could meet its 1990 target and also increase spending by using money it got from the sale of Nippon Telegraph and Telephone Corp shares and by taking advantage of lower than expected interest rates on its debt. Officially, the Finance Ministry is adhering to its tight stance but some signs of change have appeared. "We do not have any intention of abandoning our objective to restore fiscal balance," a Finance Ministry spokesman said. He said so far the ministry had tried to achieve two goals simultaneously. These were reforming the government's fiscal position and stimulating domestic demand. But the Finance Ministry spokesman added, "In looking at the current situation of the economy and the relationship between Japan and the United States, we feel we have to place more emphasis on stimulating demand." Economists predict battles within the government over the coming months as the Finance Ministry fights to ensure the cracks in its policy do not lead to a complete breakdown of fiscal discipline. "The Ministry is afraid that once there is a small hole in the dike, it will lead to a flood," Industrial Bank's Taketomi said. But Taketomi said the ministry, provided it has a device in place to check excess spending for political reasons, is likely to give the go-ahead to a shift in policy. "This seems to mark the first step toward a more active fiscal policy in response to requests from the international community," he said. Sumitomo's Koido said if the government quickly implements the LDP's 5,000 billion yen package, economic growth in the 1987/88 year ending next March 31 could be around three pct, His current forecast of 2.2 pct growth assumes a supplementary budget of around 1,000 billion yen. REUTER
OMAHA HOGS UP 1.00 DLR - USDA|barrow and gilt prices rose mostly 1.00 dlr in active trade, the usda said. top 51.75 dlrs per cwt. us 1-3 220-260 lbs 51.00-51.50, near 100 head 230-240 lbs 51.75. sows - steady/up 0.50 dlr. us 1-3 500-650 lbs 45.50-46.00. Reuter
REPUBLICBANK <RPT> DEBT DOWNGRADED BY S/P|Standard and Poor's Corp said it downgraded RepublicBank Corp's 550 mln dlrs of debt. Cut were the firm's senior debt to BBB-plus from A, subordinated debt to BBB from A-minus and preferred stock to BB-plus from BBB. Its A-2 commercial paper was maintained. S and P said the action reflected a heightened risk profile for RepublicBank because of its proposed acquisition of InterFirst Corp <IFC>. However, the agency pointed out that the merger is a unique opportunity for RepublicBank to expand its already strong market position. InterFirst will remain on creditwatch until the transaction is closed, S and P said. Reuter
SWEDEN'S ERICSSON WINS U.S. ORDER|Sweden's Telefon AB L.M. Ericsson <ERIC.ST> said it has won its third contract from U.S. West Co Inc <WST> for digital exchange equipment to be supplied in the state of Idaho over the next five years. No financial details were available. The company said the contract provided for the replacement of more than 50 older exchanges run by <Mountain Bell>, one of U.S. West's three operating companies, with Ericsson's AXE system. Reuter
HUBCO INC <HCO> 1ST QTR NET|Shr 38 cts vs 30 cts Net 1,356,754 vs 1,048,340 Assets 448.5 mln vs 407.4 mln Reuter
INTERNATIONAL BOND HIGHLIGHTS - APRIL 7|Kansai Electric Power Co Inc is issuing a 60 billion yen eurobond due April 30, 1994 paying a 4-5/8 pct coupon and priced at 101 pct, lead manager Nomura International Ltd said. LONDON - Sharp Corp is issuing a 200 mln dlr equity warrant eurobond due April 27, 1992 paying two pct and priced at par, lead manager Nomura International Ltd said. LONDON - Brierley Investments Overseas NV is issuing a 100 mln dlr eurobond due April 30, 1992 paying 8-1/4 pct and priced at par, lead manager Banque Paribas Capital Markets said. LONDON - Showa Aluminium Corp is issuing a 100 mln dlr equity warrant eurobond due April 23, 1992 paying an indicated coupon of 2-1/8 pct and priced at par, lead manager Nomura International Ltd said. LONDON - Nippon Shokubai Kagaku Kogyo is issuing an 80 mln dlr equity warrant eurobond due April 30, 1992 paying an indicated coupon of 2-1/8 pct and priced at par, lead manager Nomura International Ltd said. PARIS - Caisse Centrale des Autoroutes is issuing a 120 mln ECU 7-3/8 pct eurobond due May 15, 1995 at 101-3/4 pct, lead manager Credit Lyonnais said. LONDON - Postipankki is issuing a 20 billion yen eurobond due May 11, 1992 paying 4-1/2 pct and priced at 102-1/8 pct, lead manager Nikko Securities Co (Europe) Ltd said. LONDON - Yamaichi International (Europe) Ltd said it is effectively repackaging 137 mln dlrs of the U.K's four billion dlr floating rate note issued last year into a five year fixed rate yen note with a five pct coupon. LONDON - A unit of Banca Nazionale del Lavoro is issuing a 15 billion yen eurobond due May 12, 1992 paying 4-1/2 pct and priced at 101-1/2 pct, market sources said. The joint bookrunners are Tokai International and Daiwa Europe Ltd. REUTER
CANADA LAWMAKERS URGE EXEMPTION FROM U.S. BILL|Lawmakers from Ontario asked their U.S. counterparts to exempt Canada from the mandatory trade retaliation provisions in a major trade bill being considered by the U.S. Congress. At a meeting of the Northeast-Midwest Coalition, an organization of U.S. legislators, David Cooke, chairman of the Ontario Parliament's Select Committee on Economic Affairs, said the exemption would help trade relations. The trade legislation to be considered by the full House in late April would require President Reagan to retaliate against foreign unfair trade practices unless the trade actions would harm the U.S. economy. Currently, Reagan can reject trade sanctions on any grounds. Cooke, a member of the Liberal party, told the U.S. congressmen, "I can understand (the trade bill). I think it has to do with concerns you have with the other parts of the world." "I would suggest to you that we are your best friends. You do not have those concerns with Canada and you should sincerely consider exempting our country from that bill," he added. Reuter
